Date,T_RTD,Orig_Data
1/7/21 02:00,-8.412776609,0
1/7/21 03:00,-9.879376107,0
1/7/21 04:00,-10.24602598,0
1/7/21 05:00,-10.97932573,0
1/7/21 06:00,-10.61267586,0
1/7/21 07:00,-10.24602598,0
1/7/21 08:00,-9.512726233,0
1/7/21 09:00,-9.146076358,0
1/7/21 10:00,-8.779426483,0
1/7/21 11:00,-9.512726233,0
1/7/21 12:00,-10.24602598,0
1/7/21 13:00,-10.61267586,0
1/7/21 14:00,-11.34597561,0
1/7/21 15:00,-11.34597561,0
1/7/21 16:00,-11.71262548,0
1/7/21 17:00,-11.71262548,0
1/7/21 18:00,-10.61267586,0
1/7/21 19:00,-9.879376107,0
1/7/21 20:00,-8.046126734,0
1/7/21 21:00,-6.579527235,0
1/7/21 22:00,-5.112927736,0
1/7/21 23:00,-6.579527235,0
1/8/21 00:00,-7.679476859,0
1/8/21 01:00,-8.046126734,0
1/8/21 02:00,-6.579527235,0
1/8/21 03:00,-6.21287736,0
1/8/21 04:00,-5.479577611,0
1/8/21 05:00,-4.746277861,0
1/8/21 06:00,-4.379627987,0
1/8/21 07:00,-4.379627987,0
1/8/21 08:00,-4.746277861,0
1/8/21 09:00,-5.112927736,0
1/8/21 10:00,-5.112927736,0
1/8/21 11:00,-4.746277861,0
1/8/21 12:00,-4.379627987,0
1/8/21 13:00,-3.646328237,0
1/8/21 14:00,-3.279678363,0
1/8/21 15:00,-3.279678363,0
1/8/21 16:00,-2.913028488,0
1/8/21 17:00,-2.546378613,0
1/8/21 18:00,-2.179728738,0
1/8/21 19:00,-2.179728738,0
1/8/21 20:00,-1.446428989,0
1/8/21 21:00,-1.446428989,0
1/8/21 22:00,-1.446428989,0
1/8/21 23:00,-1.813078864,0
1/9/21 00:00,-1.813078864,0
1/9/21 01:00,-2.179728738,0
1/9/21 02:00,-2.546378613,0
1/9/21 03:00,-3.279678363,0
1/9/21 04:00,-4.012978112,0
1/9/21 05:00,-3.646328237,0
1/9/21 06:00,-3.279678363,0
1/9/21 07:00,-4.012978112,0
1/9/21 08:00,-4.012978112,0
1/9/21 09:00,-4.012978112,0
1/9/21 10:00,-2.913028488,0
1/9/21 11:00,-4.012978112,0
1/9/21 12:00,-4.746277861,0
1/9/21 13:00,-5.479577611,0
1/9/21 14:00,-5.479577611,0
1/9/21 15:00,-6.579527235,0
1/9/21 16:00,-6.579527235,0
1/9/21 17:00,-6.21287736,0
1/9/21 18:00,-6.21287736,0
1/9/21 19:00,-4.379627987,0
1/9/21 20:00,-3.646328237,0
1/9/21 21:00,-3.279678363,0
1/9/21 22:00,-2.913028488,0
1/9/21 23:00,-3.646328237,0
1/10/21 00:00,-4.379627987,0
1/10/21 01:00,-4.012978112,0
1/10/21 03:00,-4.379627987,0
1/10/21 04:00,-4.746277861,0
1/10/21 05:00,-5.112927736,0
1/10/21 06:00,-5.846227486,0
1/10/21 07:00,-5.846227486,0
1/10/21 08:00,-6.94617711,0
1/10/21 09:00,-7.679476859,0
1/10/21 10:00,-8.412776609,0
1/10/21 11:00,-8.779426483,0
1/10/21 12:00,-8.412776609,0
