Latitude(N),Longitude(W),Elevation(m),Date,Length Exposed (cm),Length in Ice (cm),Melt,Stake Length (cm),Status,Surface Type,Debris Depth (cm),Debris Property,Snow Depth (cm),Snow,Source,Ice/Firn,Source,Mass Balance (g/cm^2)
,,,6/14/20,116.0,613.0 ,0.0 ,750.00 ,New Installation,Debris,21.00 ,Rocks & gravel over sandy gravel,0.00 ,,,,,0.00 
,,,6/19/20,129.0,600.0 ,13.0 ,750.00 ,Active,Debris,21.00 ,Rocks & gravel over sandy gravel,0.00 ,,,,,11.70 
61.484126 ,142.923676 ,585.8 ,7/25/20,173.0,556.0 ,44.0 ,750.00 ,Active,Debris,21.00 ,Rocks & gravel over sandy gravel,0.00 ,,,,,39.60 
,,,9/6/20,69.0,510.0 ,46.0 ,600.00 ,Active,Debris,21.00 ,Rocks & gravel over sandy gravel,0.00 ,,,,,41.40 
