Latitude(N),Longitude(W),Elevation(m),Date,Length Exposed (cm),Length in Ice (cm),Melt,Stake Length (cm),Status,Surface Type,Debris Depth (cm),Debris Property,Snow Depth (cm),Snow,Source,Ice/Firn,Source,Mass Balance (g/cm^2)
61.461113,142.917713,457.3,7/27/20,-20,1207,0,1200,New Installation,Debris,13,Cobbles over sandy gravel,0,,,,,0
61.46113,142.917719,454.1,9/2/20,59,1128,79,1200,Active,Debris,13,,,,,,,71.1
