DATE,gates,buri,usgs
2016-04-08 00:00:00-08:00,-0.36111111111111144,,
2016-04-09 00:00:00-08:00,-0.011574074074074106,,
2016-04-10 00:00:00-08:00,1.7060185185185184,,
2016-04-11 00:00:00-08:00,-0.13657407407407407,,
2016-04-12 00:00:00-08:00,-0.678240740740741,,
2016-04-13 00:00:00-08:00,-0.474537037037037,,
2016-04-14 00:00:00-08:00,-0.3402777777777781,,
2016-04-15 00:00:00-08:00,-0.14814814814814828,,
2016-04-16 00:00:00-08:00,-0.6296296296296295,,
2016-04-17 00:00:00-08:00,-1.3541666666666667,,
2016-04-18 00:00:00-08:00,-1.733796296296296,,
2016-04-19 00:00:00-08:00,-1.513888888888889,,
2016-04-20 00:00:00-08:00,-0.46064814814814814,,
2016-04-21 00:00:00-08:00,1.7499999999999993,,
2016-04-22 00:00:00-08:00,3.0995370370370368,,
2016-04-23 00:00:00-08:00,3.9606481481481484,,
2016-04-24 00:00:00-08:00,1.456018518518519,,
2016-04-25 00:00:00-08:00,0.699074074074074,,
2016-04-26 00:00:00-08:00,1.833333333333333,,
2016-04-27 00:00:00-08:00,0.046296296296296634,,
2016-04-28 00:00:00-08:00,1.0949074074074077,,
2016-04-29 00:00:00-08:00,-0.23611111111111097,,
2016-04-30 00:00:00-08:00,-0.34953703703703637,,
2016-05-01 00:00:00-08:00,1.2013888888888888,,
2016-05-02 00:00:00-08:00,-1.1689814814814816,,
2016-05-03 00:00:00-08:00,-1.2245370370370372,,
2016-05-04 00:00:00-08:00,-1.2361111111111107,,
2016-05-05 00:00:00-08:00,-0.30555555555555536,,
2016-05-06 00:00:00-08:00,1.4212962962962967,,
2016-05-07 00:00:00-08:00,-0.07638888888888896,,
2016-05-08 00:00:00-08:00,1.7245370370370365,,
2016-05-09 00:00:00-08:00,-0.6944444444444443,,
2016-05-10 00:00:00-08:00,1.1134259259259258,,
2016-05-11 00:00:00-08:00,6.555555555555557,,
2016-05-12 00:00:00-08:00,10.064814814814815,,
2016-05-13 00:00:00-08:00,11.300925925925924,,
2016-05-14 00:00:00-08:00,11.893518518518519,,
2016-05-15 00:00:00-08:00,9.453703703703704,,
2016-05-16 00:00:00-08:00,6.861111111111112,,
2016-05-17 00:00:00-08:00,2.863425925925926,,
2016-05-18 00:00:00-08:00,5.104166666666667,,
2016-05-19 00:00:00-08:00,6.9467592592592595,,
2016-05-20 00:00:00-08:00,4.238425925925926,,
2016-05-21 00:00:00-08:00,6.9467592592592595,,
2016-05-22 00:00:00-08:00,5.081018518518519,,
2016-05-23 00:00:00-08:00,7.08101851851852,,
2016-05-24 00:00:00-08:00,3.363425925925926,,
2016-05-25 00:00:00-08:00,5.296296296296297,,
2016-05-26 00:00:00-08:00,6.969907407407408,,14.02
2016-05-27 00:00:00-08:00,7.300925925925928,,15.238541666666661
2016-05-28 00:00:00-08:00,8.208333333333332,,15.25
2016-05-29 00:00:00-08:00,7.82638888888889,,13.006249999999996
2016-05-30 00:00:00-08:00,7.296296296296295,,11.237500000000002
2016-05-31 00:00:00-08:00,7.337962962962965,,12.030208333333333
2016-06-01 00:00:00-08:00,8.268518518518517,,12.127083333333333
2016-06-02 00:00:00-08:00,4.907407407407407,,10.407291666666666
2016-06-03 00:00:00-08:00,3.939814814814816,,10.136458333333332
2016-06-04 00:00:00-08:00,4.578703703703703,,10.369791666666666
2016-06-05 00:00:00-08:00,4.155092592592591,,9.461458333333336
2016-06-06 00:00:00-08:00,1.1064814814814816,,7.928124999999999
2016-06-07 00:00:00-08:00,4.467592592592593,,9.197916666666666
2016-06-08 00:00:00-08:00,7.82175925925926,,12.11458333333333
2016-06-09 00:00:00-08:00,11.488425925925926,,14.083333333333337
2016-06-10 00:00:00-08:00,10.608796296296296,,15.13020833333333
2016-06-11 00:00:00-08:00,5.831018518518519,,11.203125000000002
2016-06-12 00:00:00-08:00,5.222222222222224,,10.115625
2016-06-13 00:00:00-08:00,6.500000000000001,,11.888541666666669
2016-06-14 00:00:00-08:00,9.587962962962964,,14.652083333333332
2016-06-15 00:00:00-08:00,11.118055555555552,,15.481250000000003
2016-06-16 00:00:00-08:00,14.10648148148148,,16.456249999999997
2016-06-17 00:00:00-08:00,13.893518518518519,,16.47083333333332
2016-06-18 00:00:00-08:00,11.254629629629632,,15.085416666666665
2016-06-19 00:00:00-08:00,9.68287037037037,,13.043750000000001
2016-06-20 00:00:00-08:00,6.44212962962963,,10.823958333333332
2016-06-21 00:00:00-08:00,9.506944444444445,,14.219791666666666
