,gates,gates,gates,may,may,may,buri,buri,buri,usgs,usgs,usgs,coop,coop,coop
,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMIN,TAVG,TMAX,TMAX,TMIN,TAVG
DATE,,,,,,,,,,,,,,,
2017-01-29 00:00:00-09:00,-13.055555555555555,-11.111111111111112,-9.722222222222223,-19.443888888888893,-14.050833333333335,-4.444444444444445,,,,-17.5,-10.821874999999999,-0.2,-1.1111111111111112,-10.0,-5.555555555555555
2017-01-30 00:00:00-09:00,-12.277777777777779,-10.131944444444446,-8.88888888888889,-20.555000000000003,-14.282314814814812,-5.555555555555555,,,,-17.3,-13.045833333333329,-0.3,0.0,-17.22222222222222,-8.61111111111111
2017-01-31 00:00:00-09:00,-9.944444444444445,-7.710648148148148,-6.611111111111111,-19.999444444444446,-14.97673611111111,-10.0,,,,-16.6,-12.430208333333328,-4.2,-0.5555555555555556,-17.22222222222222,-8.88888888888889
2017-02-01 00:00:00-09:00,-11.38888888888889,-8.537037037037038,-6.944444444444445,-24.994444444444447,-16.897060185185186,-9.444444444444445,,,,-24.0,-17.642708333333324,-11.6,-4.444444444444445,-16.11111111111111,-10.277777777777779
2017-02-02 00:00:00-09:00,-15.38888888888889,-13.703703703703704,-10.833333333333334,-24.994444444444447,-18.471087962962965,-11.666666666666668,,,,-26.2,-16.43645833333334,-10.4,,,
2017-02-03 00:00:00-09:00,-13.500000000000002,-6.034722222222222,-1.2222222222222219,-27.772222222222222,-22.357546296296295,-10.0,,,,-24.8,-19.439583333333335,-6.5,-10.0,-23.88888888888889,-16.944444444444446
2017-02-04 00:00:00-09:00,-6.833333333333334,-4.9490740740740735,-1.3333333333333326,-29.438888888888886,-23.561064814814813,-11.666666666666668,,,,-28.3,-22.80416666666667,-10.3,-6.666666666666667,-27.222222222222225,-16.944444444444446
2017-02-05 00:00:00-09:00,-7.055555555555555,-5.953703703703705,-4.555555555555555,-29.438888888888886,-22.84365740740741,-11.666666666666668,,,,-29.7,-23.696874999999995,-13.9,-10.0,-27.77777777777778,-18.88888888888889
2017-02-06 00:00:00-09:00,-10.38888888888889,-6.828703703703703,-3.611111111111111,-32.77222222222222,-26.222847222222228,-13.333333333333334,,,,-29.2,-23.23958333333333,-8.5,-12.777777777777779,-28.88888888888889,-20.833333333333336
2017-02-07 00:00:00-09:00,-11.61111111111111,-10.826388888888891,-9.444444444444445,-32.77222222222222,-26.731921296296296,-11.666666666666668,,,,-33.1,-26.597916666666666,-14.0,-8.333333333333334,-31.111111111111114,-19.72222222222222
2017-02-08 00:00:00-09:00,-11.38888888888889,-9.923611111111109,-5.555555555555555,-30.549999999999997,-25.1119212962963,-17.22222222222222,,,,-33.0,-26.328125000000004,-12.0,-13.88888888888889,-32.77777777777778,-23.333333333333336
2017-02-09 00:00:00-09:00,-14.611111111111112,-12.590277777777779,-11.222222222222223,-20.555000000000003,-17.013587962962962,-11.11111111111111,,,,-30.0,-23.448958333333326,-18.4,-12.222222222222223,-32.77777777777778,-22.5
2017-02-10 00:00:00-09:00,-13.166666666666666,-10.40277777777778,-7.611111111111111,-16.666666666666668,-15.162037037037043,-13.88888888888889,,,,-20.2,-16.217708333333338,-6.9,-17.77777777777778,-30.0,-23.88888888888889
2017-02-11 00:00:00-09:00,-18.833333333333332,-13.923611111111107,-11.055555555555555,-27.216666666666665,-18.563310185185184,-11.11111111111111,,,,-21.0,-15.778124999999994,-13.1,-6.666666666666667,-20.0,-13.333333333333334
2017-02-12 00:00:00-09:00,-17.833333333333336,-12.252314814814818,-5.88888888888889,-15.0,-6.73611111111111,1.1111111111111112,,,,-26.0,-16.914583333333326,-9.3,-12.777777777777779,-21.11111111111111,-16.944444444444446
2017-02-13 00:00:00-09:00,-5.388888888888888,-2.2013888888888893,-0.11111111111111072,0.0,1.9907407407407407,7.777777777777779,,,,-9.2,-1.9177083333333338,2.1,-7.777777777777779,-26.11111111111111,-16.944444444444446
2017-02-14 00:00:00-09:00,-1.4444444444444453,-0.46296296296296274,1.4444444444444453,-2.2222222222222223,-0.09259259259259274,6.111111111111112,,,,-3.6,2.372916666666665,12.2,2.2222222222222223,-7.777777777777779,-2.7777777777777777
2017-02-15 00:00:00-09:00,-7.5,-2.9583333333333335,0.9999999999999984,-16.666666666666668,-6.597222222222222,0.0,,,,-6.9,-1.0510416666666667,5.5,12.222222222222223,-3.8888888888888893,4.166666666666667
2017-02-16 00:00:00-09:00,-9.500000000000002,-8.192129629629632,-6.000000000000001,-22.221666666666668,-12.685023148148149,0.5555555555555556,,,,-17.9,-8.855208333333335,1.1,5.555555555555555,-7.777777777777779,-1.1111111111111112
2017-02-17 00:00:00-09:00,-8.666666666666668,-7.349537037037039,-5.666666666666667,-12.222222222222223,-6.064814814814817,1.6666666666666667,,,,-20.0,-9.276041666666663,2.4,1.1111111111111112,-20.0,-9.444444444444445
2017-02-18 00:00:00-09:00,-9.500000000000002,-7.00925925925926,-4.666666666666666,-24.994444444444447,-14.698009259259258,-3.3333333333333335,,,,-15.9,-6.935416666666665,6.5,2.2222222222222223,-18.88888888888889,-8.333333333333334
2017-02-19 00:00:00-09:00,-10.833333333333334,-9.613425925925926,-7.000000000000001,-28.883333333333333,-19.835115740740747,-6.666666666666667,,,,-22.8,-15.385416666666666,-3.2,6.666666666666667,-17.77777777777778,-5.555555555555555
2017-02-20 00:00:00-09:00,-14.277777777777779,-10.837962962962962,-8.333333333333334,-31.105555555555554,-22.080254629629632,-9.444444444444445,,,,-27.2,-19.326041666666665,-5.2,-3.3333333333333335,-23.88888888888889,-13.611111111111112
2017-02-21 00:00:00-09:00,-18.22222222222222,-16.03009259259259,-14.555555555555555,-27.216666666666665,-17.313310185185188,-6.111111111111112,,,,-29.9,-21.94687499999999,-7.2,-5.0,-27.222222222222225,-16.11111111111111
2017-02-22 00:00:00-09:00,-13.555555555555555,-11.289351851851853,-9.666666666666666,-21.110555555555557,-11.75914351851852,-2.7777777777777777,,,,-24.8,-14.340625000000001,-5.1,-7.222222222222222,-28.88888888888889,-18.055555555555557
