TIMESTAMP,SD,RS,Precip_inc
2018-08-31,0.0,-72.6499,
2018-09-01,0.30000000000001137,47.35892,120.00882
2018-09-02,-0.9000000000000057,46.809020000000004,
2018-09-03,-1.1999999999999886,46.09179,
2018-09-04,-0.799999999999983,45.69189,
2018-09-05,0.8000000000000114,46.76678,1.0748899999999963
2018-09-06,-0.19999999999998863,46.661190000000005,
2018-09-07,-1.0999999999999943,47.33775,0.6765599999999949
2018-09-08,-0.5999999999999943,58.74977,11.412019999999998
2018-09-09,-1.1999999999999886,58.13066,
2018-09-10,-1.4000000000000057,46.53452,
2018-09-11,0.09999999999999432,46.17606,
2018-09-12,-0.29999999999998295,46.95694,0.7808800000000033
2018-09-13,-0.6999999999999886,48.63264,1.675699999999999
2018-09-14,-1.1999999999999886,58.55064,9.918
2018-09-15,-0.9000000000000057,45.67087,
2018-09-16,0.30000000000001137,47.80396,2.1330899999999957
2018-09-17,-0.9000000000000057,49.14398,1.3400200000000027
2018-09-18,-1.6999999999999886,48.14362,
2018-09-19,-2.0999999999999943,46.74564,
2018-09-20,-1.5999999999999943,47.57074,0.8250999999999991
2018-09-21,-2.5,47.12612,
2018-09-22,-1.799999999999983,49.18663,2.0605100000000007
2018-09-23,0.700000000000017,55.3842,6.197569999999999
2018-09-24,1.3000000000000114,53.72835,
2018-09-25,-1.0999999999999943,64.22843,10.500080000000004
2018-09-26,-0.6999999999999886,53.272659999999995,
2018-09-27,-0.5,55.537240000000004,2.2645800000000094
2018-09-28,-0.09999999999999432,61.128980000000006,5.5917400000000015
2018-09-29,0.09999999999999432,60.392959999999995,
2018-09-30,-0.9000000000000057,56.457409999999996,
2018-10-01,-0.6999999999999886,56.43544,
2018-10-02,-0.6999999999999886,55.1002,
2018-10-03,0.0,54.35892,
2018-10-04,-1.5999999999999943,58.39581,4.03689
2018-10-05,-1.4000000000000057,65.99574,7.5999300000000005
2018-10-06,-0.6999999999999886,61.665519999999994,
2018-10-07,-0.5,58.32951,
2018-10-08,-0.5999999999999943,59.215090000000004,0.8855800000000045
2018-10-09,-0.09999999999999432,55.296780000000005,
2018-10-10,-0.19999999999998863,57.777519999999996,2.48073999999999
2018-10-11,1.0999999999999943,66.88358000000001,9.106060000000014
2018-10-12,-0.5999999999999943,62.719269999999995,
2018-10-13,0.0,74.76509,12.045820000000006
2018-10-14,-1.299999999999983,72.85039,
2018-10-15,-0.5,60.92805,
2018-10-16,0.8000000000000114,79.24897,18.32092
2018-10-17,-0.6999999999999886,85.46773,6.218760000000003
2018-10-18,-0.4000000000000057,87.80396,2.3362300000000005
2018-10-19,-0.6999999999999886,84.9347,
2018-10-20,-0.4000000000000057,100.7013,15.766599999999997
2018-10-21,-1.0999999999999943,98.3999,
2018-10-22,-0.09999999999999432,90.10789,
2018-10-23,-0.29999999999998295,92.20517,2.097279999999998
2018-10-24,-0.5999999999999943,101.0821,8.876930000000002
2018-10-25,-1.4000000000000057,94.01691,
2018-10-26,-1.0999999999999943,100.2448,6.227890000000002
2018-10-27,-0.09999999999999432,95.41339,
2018-10-28,0.700000000000017,97.64455,2.2311599999999885
2018-10-29,-2.0999999999999943,90.74799999999999,
2018-10-30,-2.9000000000000057,92.84933000000001,2.1013300000000186
2018-10-31,3.9000000000000057,94.41533000000001,1.5660000000000025
2018-11-01,1.9000000000000057,78.79760999999999,
2018-11-02,2.0999999999999943,73.54946,
2018-11-03,2.0,82.93181,9.382350000000002
2018-11-04,1.5,79.20144,
2018-11-05,1.9000000000000057,86.58507,7.383629999999997
2018-11-06,1.8000000000000114,89.59179,3.0067200000000014
2018-11-07,1.3000000000000114,88.34172,
2018-11-08,2.700000000000017,95.86345,7.521730000000005
2018-11-09,3.0999999999999943,102.5328,6.669349999999994
2018-11-10,4.900000000000006,116.97,14.437200000000004
2018-11-11,7.099999999999994,117.7134,0.7433999999999941
2018-11-12,5.0,135.095,17.381600000000006
2018-11-13,1.0999999999999943,134.9841,
2018-11-14,-0.09999999999999432,119.0709,
2018-11-15,-0.29999999999998295,122.4992,3.4283000000000072
2018-11-16,-0.19999999999998863,108.9143,
2018-11-17,-0.19999999999998863,122.3378,13.423500000000004
2018-11-18,15.800000000000011,158.9009,36.563100000000006
2018-11-19,11.400000000000006,163.6674,4.766499999999979
2018-11-20,8.900000000000006,165.7122,2.0448000000000093
2018-11-21,8.5,163.7265,
2018-11-22,9.300000000000011,153.0247,
2018-11-23,8.900000000000006,145.9696,
2018-11-24,8.900000000000006,147.1948,1.2251999999999725
2018-11-25,9.0,159.9853,12.790500000000009
2018-11-26,8.099999999999994,182.2925,22.307199999999995
2018-11-27,8.5,180.3312,
2018-11-28,8.099999999999994,167.6465,
2018-11-29,8.200000000000017,168.1238,0.4772999999999854
2018-11-30,8.400000000000006,158.2572,
2018-12-01,9.900000000000006,146.2258,
2018-12-02,9.400000000000006,175.5214,29.295600000000007
2018-12-03,8.800000000000011,179.445,3.9235999999999933
2018-12-04,13.900000000000006,163.5196,
2018-12-05,14.0,179.9949,16.475300000000004
2018-12-06,12.900000000000006,188.0351,8.040199999999999
2018-12-07,11.300000000000011,195.75900000000001,7.723900000000015
2018-12-08,11.200000000000017,184.1689,
2018-12-09,12.5,187.942,3.7730999999999995
2018-12-10,12.099999999999994,172.3202,
2018-12-11,12.400000000000006,172.0493,
2018-12-12,14.700000000000017,181.0045,8.95520000000002
2018-12-13,13.900000000000006,163.8449,
2018-12-14,14.099999999999994,171.6885,7.843600000000009
2018-12-15,14.099999999999994,172.1095,0.42099999999999227
